SampleNumber,Test,Location,CollectDate,CollectTime,OrderDetails_User1,OrderDetails_User2,OrderDetails_User4,OrderDetails_User3,Result,Param,Results_Units,Site
250731001-001,TP,,29-Jul-25,00-Jan-00,3.1,,,,0.552,TP,ugP/L,Field Blank
250731001-001,Alk,,29-Jul-25,00-Jan-00,3.1,,,,2.000000,Alk,mg/L as CaCO3,Field Blank
250731001-001,tNH3,,29-Jul-25,00-Jan-00,3.1,,,,2.204,tNH3,ugN/L,Field Blank
250731001-001,NOX,,29-Jul-25,00-Jan-00,3.1,,,,2.534,NOX,ugN/L,Field Blank
250731001-001,pH_L,,29-Jul-25,00-Jan-00,3.1,,,,5.87,pH_L,,Field Blank
250731001-001,TN,,29-Jul-25,00-Jan-00,3.1,,,,-8.883,TN,ugN/L,Field Blank
250731001-002,TP,,29-Jul-25,00-Jan-00,3.1,,,,20.071,TP,ugP/L,North-Epi
250731001-002,NOX,,29-Jul-25,00-Jan-00,3.1,,,,-3.565,NOX,ugN/L,North-Epi
250731001-002,TN,,29-Jul-25,00-Jan-00,3.1,,,,487.853,TN,ugN/L,North-Epi
250731001-002,tNH3,,29-Jul-25,00-Jan-00,3.1,,,,6.875,tNH3,ugN/L,North-Epi
250731001-002,Alk,,29-Jul-25,00-Jan-00,3.1,,,,64.500000,Alk,mg/L as CaCO3,North-Epi
250731001-002,TDP,,29-Jul-25,00-Jan-00,3.1,,,,8.75,TDP,ugP/L,North-Epi
250731001-002,pH_L,,29-Jul-25,00-Jan-00,3.1,,,,9.21,pH_L,,North-Epi
250731001-003,TDP,,29-Jul-25,00-Jan-00,3.1,,,8,31.145,TDP,ugP/L,North-Met
250731001-003,TN,,29-Jul-25,00-Jan-00,3.1,,,8,335.247,TN,ugN/L,North-Met
250731001-003,TP,,29-Jul-25,00-Jan-00,3.1,,,8,38.692,TP,ugP/L,North-Met
250731001-003,NOX,,29-Jul-25,00-Jan-00,3.1,,,8,4.597,NOX,ugN/L,North-Met
250731001-003,tNH3,,29-Jul-25,00-Jan-00,3.1,,,8,46.517,tNH3,ugN/L,North-Met
250731001-003,Alk,,29-Jul-25,00-Jan-00,3.1,,,8,66.550000,Alk,mg/L as CaCO3,North-Met
250731001-003,pH_L,,29-Jul-25,00-Jan-00,3.1,,,8,7.34,pH_L,,North-Met
250731001-004,NOX,,29-Jul-25,00-Jan-00,3.1,,,11,-1.929,NOX,ugN/L,North-Hyp
250731001-004,tNH3,,29-Jul-25,00-Jan-00,3.1,,,11,106.097,tNH3,ugN/L,North-Hyp
250731001-004,TN,,29-Jul-25,00-Jan-00,3.1,,,11,358.619,TN,ugN/L,North-Hyp
250731001-004,TDP,,29-Jul-25,00-Jan-00,3.1,,,11,69.422,TDP,ugP/L,North-Hyp
250731001-004,pH_L,,29-Jul-25,00-Jan-00,3.1,,,11,7.45,pH_L,,North-Hyp
250731001-004,Alk,,29-Jul-25,00-Jan-00,3.1,,,11,72.700000,Alk,mg/L as CaCO3,North-Hyp
250731001-004,TP,,29-Jul-25,00-Jan-00,3.1,,,11,81.672,TP,ugP/L,North-Hyp
250731001-005,TDP,,29-Jul-25,00-Jan-00,3.1,,A,18,118.71,TDP,ugP/L,North-Bot-A
250731001-005,TP,,29-Jul-25,00-Jan-00,3.1,,A,18,135.58,TP,ugP/L,North-Bot-A
250731001-005,tNH3,,29-Jul-25,00-Jan-00,3.1,,A,18,198.267,tNH3,ugN/L,North-Bot-A
250731001-005,NOX,,29-Jul-25,00-Jan-00,3.1,,A,18,-3.654,NOX,ugN/L,North-Bot-A
250731001-005,TN,,29-Jul-25,00-Jan-00,3.1,,A,18,444.916,TN,ugN/L,North-Bot-A
250731001-005,pH_L,,29-Jul-25,00-Jan-00,3.1,,A,18,7.47,pH_L,,North-Bot-A
250731001-005,Alk,,29-Jul-25,00-Jan-00,3.1,,A,18,81.950000,Alk,mg/L as CaCO3,North-Bot-A
250731001-006,TDP,,29-Jul-25,00-Jan-00,3.1,,B,18,121.62,TDP,ugP/L,North-Bot-B
250731001-006,TP,,29-Jul-25,00-Jan-00,3.1,,B,18,130.41,TP,ugP/L,North-Bot-B
250731001-006,NOX,,29-Jul-25,00-Jan-00,3.1,,B,18,-2.373,NOX,ugN/L,North-Bot-B
250731001-006,tNH3,,29-Jul-25,00-Jan-00,3.1,,B,18,207.101,tNH3,ugN/L,North-Bot-B
250731001-006,TN,,29-Jul-25,00-Jan-00,3.1,,B,18,447.877,TN,ugN/L,North-Bot-B
250731001-006,pH_L,,29-Jul-25,00-Jan-00,3.1,,B,18,7.46,pH_L,,North-Bot-B
250731001-006,Alk,,29-Jul-25,00-Jan-00,3.1,,B,18,78.850000,Alk,mg/L as CaCO3,North-Bot-B
250814001-001,NOX,,13-Aug-25,00-Jan-00,3.8,,,,-1.037,NOX,ugN/L,North Surface
250814001-001,TDP,,13-Aug-25,00-Jan-00,3.8,,,,14.287,TDP,ugP/L,North Surface
250814001-001,TN,,13-Aug-25,00-Jan-00,3.8,,,,520.811,TN,ugN/L,North Surface
250814001-001,tNH3,,13-Aug-25,00-Jan-00,3.8,,,,6.932,tNH3,ugN/L,North Surface
250814001-001,Alk,,13-Aug-25,00-Jan-00,3.8,,,,65.550000,Alk,mg/L as CaCO3,North Surface
250814001-001,TP,,13-Aug-25,00-Jan-00,3.8,,,,68.84,TP,ugP/L,North Surface
250814001-001,pH_L,,13-Aug-25,00-Jan-00,3.8,,,,8.98,pH_L,,North Surface
250814001-002,NOX,,13-Aug-25,00-Jan-00,3.8,,,7,-1.172,NOX,ugN/L,North Met
250814001-002,tNH3,,13-Aug-25,00-Jan-00,3.8,,,7,11.721,tNH3,ugN/L,North Met
250814001-002,TDP,,13-Aug-25,00-Jan-00,3.8,,,7,25.093,TDP,ugP/L,North Met
250814001-002,TN,,13-Aug-25,00-Jan-00,3.8,,,7,290.478,TN,ugN/L,North Met
250814001-002,TP,,13-Aug-25,00-Jan-00,3.8,,,7,36.791,TP,ugP/L,North Met
250814001-002,Alk,,13-Aug-25,00-Jan-00,3.8,,,7,65.550000,Alk,mg/L as CaCO3,North Met
250814001-002,pH_L,,13-Aug-25,00-Jan-00,3.8,,,7,7.71,pH_L,,North Met
250814001-003,NOX,,13-Aug-25,00-Jan-00,3.8,,,10,-0.244,NOX,ugN/L,North Hypo
250814001-003,TDP,,13-Aug-25,00-Jan-00,3.8,,,10,105.91,TDP,ugP/L,North Hypo
250814001-003,tNH3,,13-Aug-25,00-Jan-00,3.8,,,10,156.499,tNH3,ugN/L,North Hypo
250814001-003,TN,,13-Aug-25,00-Jan-00,3.8,,,10,484.758,TN,ugN/L,North Hypo
250814001-003,pH_L,,13-Aug-25,00-Jan-00,3.8,,,10,7.34,pH_L,,North Hypo
250814001-003,Alk,,13-Aug-25,00-Jan-00,3.8,,,10,74.750000,Alk,mg/L as CaCO3,North Hypo
250814001-003,TP,,13-Aug-25,00-Jan-00,3.8,,,10,92.36,TP,ugP/L,North Hypo
250814001-004,NOX,,13-Aug-25,00-Jan-00,3.8,,,18,-0.48,NOX,ugN/L,North Bot
250814001-004,TDP,,13-Aug-25,00-Jan-00,3.8,,,18,245.89,TDP,ugP/L,North Bot
250814001-004,TP,,13-Aug-25,00-Jan-00,3.8,,,18,270.1,TP,ugP/L,North Bot
250814001-004,SRP,,13-Aug-25,00-Jan-00,3.8,,,18,275.476,SRP,ugP/L,North Bot
250814001-004,tNH3,,13-Aug-25,00-Jan-00,3.8,,,18,285.076,tNH3,ugN/L,North Bot
250814001-004,TN,,13-Aug-25,00-Jan-00,3.8,,,18,668.073,TN,ugN/L,North Bot
250814001-004,pH_L,,13-Aug-25,00-Jan-00,3.8,,,18,7.46,pH_L,,North Bot
250814001-004,Alk,,13-Aug-25,00-Jan-00,3.8,,,18,85.000000,Alk,mg/L as CaCO3,North Bot
250814001-005,NOX,,13-Aug-25,00-Jan-00,3.8,,,18,-1.509,NOX,ugN/L,North Bot DUP
250814001-005,TP,,13-Aug-25,00-Jan-00,3.8,,,18,252.69,TP,ugP/L,North Bot DUP
250814001-005,SRP,,13-Aug-25,00-Jan-00,3.8,,,18,273.322,SRP,ugP/L,North Bot DUP
250814001-005,TDP,,13-Aug-25,00-Jan-00,3.8,,,18,296.42,TDP,ugP/L,North Bot DUP
250814001-005,tNH3,,13-Aug-25,00-Jan-00,3.8,,,18,434.462,tNH3,ugN/L,North Bot DUP
250814001-005,TN,,13-Aug-25,00-Jan-00,3.8,,,18,681.418,TN,ugN/L,North Bot DUP
250814001-005,pH_L,,13-Aug-25,00-Jan-00,3.8,,,18,7.46,pH_L,,North Bot DUP
250814001-005,Alk,,13-Aug-25,00-Jan-00,3.8,,,18,85.000000,Alk,mg/L as CaCO3,North Bot DUP
250814001-006,TP,,13-Aug-25,00-Jan-00,3.8,,,,-0.047,TP,ugP/L,Field Blank
250814001-006,NOX,,13-Aug-25,00-Jan-00,3.8,,,,2.406,NOX,ugN/L,Field Blank
250814001-006,Alk,,13-Aug-25,00-Jan-00,3.8,,,,3.050000,Alk,mg/L as CaCO3,Field Blank
250814001-006,TDP,,13-Aug-25,00-Jan-00,3.8,,,,3.22,TDP,ugP/L,Field Blank
250814001-006,TN,,13-Aug-25,00-Jan-00,3.8,,,,-32.857,TN,ugN/L,Field Blank
250814001-006,tNH3,,13-Aug-25,00-Jan-00,3.8,,,,4.537,tNH3,ugN/L,Field Blank
250814001-006,pH_L,,13-Aug-25,00-Jan-00,3.8,,,,5.65,pH_L,,Field Blank
250828002-001,TDP,,27-Aug-25,00-Jan-00,3.5,,,12.0,1.86,TDP,ugP/L,Field Blank
250828002-001,TN,,27-Aug-25,00-Jan-00,3.5,,,12.0,-11.577,TN,ugN/L,Field Blank
250828002-001,TP,,27-Aug-25,00-Jan-00,3.5,,,12.0,2.618,TP,ugP/L,Field Blank
250828002-001,NOX,,27-Aug-25,00-Jan-00,3.5,,,12.0,-22.585,NOX,ugN/L,Field Blank
250828002-001,Alk,,27-Aug-25,00-Jan-00,3.5,,,12.0,3.050000,Alk,mg/L as CaCO3,Field Blank
250828002-001,tNH3,,27-Aug-25,00-Jan-00,3.5,,,12.0,3.796,tNH3,ugN/L,Field Blank
250828002-001,pH_L,,27-Aug-25,00-Jan-00,3.5,,,12.0,5.66,pH_L,,Field Blank
250828002-002,NOX,,27-Aug-25,00-Jan-00,3.5,,,14.0,-21.388,NOX,ugN/L,North-Epi
250828002-002,tNH3,,27-Aug-25,00-Jan-00,3.5,,,14.0,42.648,tNH3,ugN/L,North-Epi
250828002-002,TN,,27-Aug-25,00-Jan-00,3.5,,,14.0,442.937,TN,ugN/L,North-Epi
250828002-002,TDP,,27-Aug-25,00-Jan-00,3.5,,,14.0,48.231,TDP,ugP/L,North-Epi
250828002-002,Alk,,27-Aug-25,00-Jan-00,3.5,,,14.0,66.550000,Alk,mg/L as CaCO3,North-Epi
250828002-002,TP,,27-Aug-25,00-Jan-00,3.5,,,14.0,68.352,TP,ugP/L,North-Epi
250828002-002,pH_L,,27-Aug-25,00-Jan-00,3.5,,,14.0,7.88,pH_L,,North-Epi
250828002-003,TDP,,27-Aug-25,00-Jan-00,3.5,,,18.0,143.06,TDP,ugP/L,North-Met
250828002-003,TP,,27-Aug-25,00-Jan-00,3.5,,,18.0,174.97,TP,ugP/L,North-Met
250828002-003,NOX,,27-Aug-25,00-Jan-00,3.5,,,18.0,-22.136,NOX,ugN/L,North-Met
250828002-003,tNH3,,27-Aug-25,00-Jan-00,3.5,,,18.0,262.156,tNH3,ugN/L,North-Met
250828002-003,TN,,27-Aug-25,00-Jan-00,3.5,,,18.0,617.352,TN,ugN/L,North-Met
250828002-003,pH_L,,27-Aug-25,00-Jan-00,3.5,,,18.0,7.63,pH_L,,North-Met
250828002-003,Alk,,27-Aug-25,00-Jan-00,3.5,,,18.0,76.800000,Alk,mg/L as CaCO3,North-Met
250828002-004,TDP,,27-Aug-25,00-Jan-00,3.5,,,18.0,263.1,TDP,ugP/L,North-Hyp
250828002-004,TP,,27-Aug-25,00-Jan-00,3.5,,,18.0,324.33,TP,ugP/L,North-Hyp
250828002-004,tNH3,,27-Aug-25,00-Jan-00,3.5,,,18.0,456.263,tNH3,ugN/L,North-Hyp
250828002-004,NOX,,27-Aug-25,00-Jan-00,3.5,,,18.0,5.637,NOX,ugN/L,North-Hyp
250828002-004,pH_L,,27-Aug-25,00-Jan-00,3.5,,,18.0,7.62,pH_L,,North-Hyp
250828002-004,TN,,27-Aug-25,00-Jan-00,3.5,,,18.0,758.448,TN,ugN/L,North-Hyp
250828002-004,Alk,,27-Aug-25,00-Jan-00,3.5,,,18.0,86.050000,Alk,mg/L as CaCO3,North-Hyp
250828002-005,NOX,,27-Aug-25,00-Jan-00,3.5,,,,3.204,NOX,ugN/L,North-Bot-A
250828002-005,TP,,27-Aug-25,00-Jan-00,3.5,,,,383.14,TP,ugP/L,North-Bot-A
250828002-005,TDP,,27-Aug-25,00-Jan-00,3.5,,,,405.65,TDP,ugP/L,North-Bot-A
250828002-005,SRP,,27-Aug-25,00-Jan-00,3.5,,,,416.054,SRP,ugP/L,North-Bot-A
250828002-005,tNH3,,27-Aug-25,00-Jan-00,3.5,,,,603.979,tNH3,ugN/L,North-Bot-A
250828002-005,pH_L,,27-Aug-25,00-Jan-00,3.5,,,,7.51,pH_L,,North-Bot-A
250828002-005,TN,,27-Aug-25,00-Jan-00,3.5,,,,866.28,TN,ugN/L,North-Bot-A
250828002-005,Alk,,27-Aug-25,00-Jan-00,3.5,,,,92.200000,Alk,mg/L as CaCO3,North-Bot-A
250828002-006,NOX,,27-Aug-25,00-Jan-00,3.5,,,,2.958,NOX,ugN/L,North-Bot-B
250828002-006,TDP,,27-Aug-25,00-Jan-00,3.5,,,,391.37,TDP,ugP/L,North-Bot-B
250828002-006,TP,,27-Aug-25,00-Jan-00,3.5,,,,399.66,TP,ugP/L,North-Bot-B
250828002-006,SRP,,27-Aug-25,00-Jan-00,3.5,,,,432.712,SRP,ugP/L,North-Bot-B
250828002-006,tNH3,,27-Aug-25,00-Jan-00,3.5,,,,606.213,tNH3,ugN/L,North-Bot-B
250828002-006,pH_L,,27-Aug-25,00-Jan-00,3.5,,,,7.54,pH_L,,North-Bot-B
250828002-006,TN,,27-Aug-25,00-Jan-00,3.5,,,,847.555,TN,ugN/L,North-Bot-B
250828002-006,Alk,,27-Aug-25,00-Jan-00,3.5,,,,90.150000,Alk,mg/L as CaCO3,North-Bot-B
250911003-001,TDP,,10-Sep-25,00-Jan-00,5.3,,,,0.606,TDP,ugP/L,Field Blank
250911003-001,TP,,10-Sep-25,00-Jan-00,5.3,,,,1.384,TP,ugP/L,Field Blank
250911003-001,Alk,,10-Sep-25,00-Jan-00,5.3,,,,3.050000,Alk,mg/L as CaCO3,Field Blank
250911003-001,NOX,,10-Sep-25,00-Jan-00,5.3,,,,3.137,NOX,ugN/L,Field Blank
250911003-001,TN,,10-Sep-25,00-Jan-00,5.3,,,,-33.03,TN,ugN/L,Field Blank
250911003-001,tNH3,,10-Sep-25,00-Jan-00,5.3,,,,4.242,tNH3,ugN/L,Field Blank
250911003-001,pH_L,,10-Sep-25,00-Jan-00,5.3,,,,5.84,pH_L,,Field Blank
250911003-002,tNH3,,10-Sep-25,00-Jan-00,5.3,,,,17.849,tNH3,ugN/L,North-Epi
250911003-002,NOX,,10-Sep-25,00-Jan-00,5.3,,,,4.816,NOX,ugN/L,North-Epi
250911003-002,TN,,10-Sep-25,00-Jan-00,5.3,,,,454.596,TN,ugN/L,North-Epi
250911003-002,TDP,,10-Sep-25,00-Jan-00,5.3,,,,56.323,TDP,ugP/L,North-Epi
250911003-002,Alk,,10-Sep-25,00-Jan-00,5.3,,,,66.550000,Alk,mg/L as CaCO3,North-Epi
250911003-002,pH_L,,10-Sep-25,00-Jan-00,5.3,,,,7.75,pH_L,,North-Epi
250911003-002,TP,,10-Sep-25,00-Jan-00,5.3,,,,86.403,TP,ugP/L,North-Epi
250911003-003,TN,,10-Sep-25,00-Jan-00,5.3,,,13,349.157,TN,ugN/L,North-Met
250911003-003,tNH3,,10-Sep-25,00-Jan-00,5.3,,,13,44.8,tNH3,ugN/L,North-Met
250911003-003,TDP,,10-Sep-25,00-Jan-00,5.3,,,13,59.357,TDP,ugP/L,North-Met
250911003-003,NOX,,10-Sep-25,00-Jan-00,5.3,,,13,6.82,NOX,ugN/L,North-Met
250911003-003,Alk,,10-Sep-25,00-Jan-00,5.3,,,13,66.550000,Alk,mg/L as CaCO3,North-Met
250911003-003,pH_L,,10-Sep-25,00-Jan-00,5.3,,,13,7.63,pH_L,,North-Met
250911003-003,TP,,10-Sep-25,00-Jan-00,5.3,,,13,81.372,TP,ugP/L,North-Met
250911003-004,TDP,,10-Sep-25,00-Jan-00,5.3,,,15,157.72,TDP,ugP/L,North-Hyp
250911003-004,TP,,10-Sep-25,00-Jan-00,5.3,,,15,188.75,TP,ugP/L,North-Hyp
250911003-004,NOX,,10-Sep-25,00-Jan-00,5.3,,,15,2.106,NOX,ugN/L,North-Hyp
250911003-004,tNH3,,10-Sep-25,00-Jan-00,5.3,,,15,511.511,tNH3,ugN/L,North-Hyp
250911003-004,pH_L,,10-Sep-25,00-Jan-00,5.3,,,15,7.63,pH_L,,North-Hyp
250911003-004,TN,,10-Sep-25,00-Jan-00,5.3,,,15,728.779,TN,ugN/L,North-Hyp
250911003-004,Alk,,10-Sep-25,00-Jan-00,5.3,,,15,85.000000,Alk,mg/L as CaCO3,North-Hyp
250911003-005,NOX,,10-Sep-25,00-Jan-00,5.3,,,18,1.095,NOX,ugN/L,North-Bot-A
250911003-005,tNH3,,10-Sep-25,00-Jan-00,5.3,,,18,1008.03,tNH3,ugN/L,North-Bot-A
250911003-005,Alk,,10-Sep-25,00-Jan-00,5.3,,,18,101.400000,Alk,mg/L as CaCO3,North-Bot-A
250911003-005,TN,,10-Sep-25,00-Jan-00,5.3,,,18,1058.79,TN,ugN/L,North-Bot-A
250911003-005,TP,,10-Sep-25,00-Jan-00,5.3,,,18,295.5,TP,ugP/L,North-Bot-A
250911003-005,TDP,,10-Sep-25,00-Jan-00,5.3,,,18,309.72,TDP,ugP/L,North-Bot-A
250911003-005,pH_L,,10-Sep-25,00-Jan-00,5.3,,,18,7.91,pH_L,,North-Bot-A
250911003-006,Alk,,10-Sep-25,00-Jan-00,5.3,,,18,100.400000,Alk,mg/L as CaCO3,North-Bot-B
250911003-006,tNH3,,10-Sep-25,00-Jan-00,5.3,,,18,1005.62,tNH3,ugN/L,North-Bot-B
250911003-006,TN,,10-Sep-25,00-Jan-00,5.3,,,18,1070.74,TN,ugN/L,North-Bot-B
250911003-006,TP,,10-Sep-25,00-Jan-00,5.3,,,18,291.8,TP,ugP/L,North-Bot-B
250911003-006,TDP,,10-Sep-25,00-Jan-00,5.3,,,18,291.83,TDP,ugP/L,North-Bot-B
250911003-006,NOX,,10-Sep-25,00-Jan-00,5.3,,,18,4.148,NOX,ugN/L,North-Bot-B
250911003-006,pH_L,,10-Sep-25,00-Jan-00,5.3,,,18,7.86,pH_L,,North-Bot-B
250925003-001,NOX,,25-Sep-25,00-Jan-00,5.7,,,,0.109,NOX,ugN/L,Field Blank
250925003-001,Alk,,25-Sep-25,00-Jan-00,5.7,,,,1.000000,Alk,mg/L as CaCO3,Field Blank
250925003-001,TP,,25-Sep-25,00-Jan-00,5.7,,,,1.341,TP,ugP/L,Field Blank
250925003-001,TDP,,25-Sep-25,00-Jan-00,5.7,,,,1.91,TDP,ugP/L,Field Blank
250925003-001,tNH3,,25-Sep-25,00-Jan-00,5.7,,,,10.794,tNH3,ugN/L,Field Blank
250925003-001,TN,,25-Sep-25,00-Jan-00,5.7,,,,-27.681,TN,ugN/L,Field Blank
250925003-001,pH_L,,25-Sep-25,00-Jan-00,5.7,,,,5.56,pH_L,,Field Blank
250925003-002,NOX,,25-Sep-25,00-Jan-00,5.7,,,,-1.443,NOX,ugN/L,North-Epi
250925003-002,tNH3,,25-Sep-25,00-Jan-00,5.7,,,,10.451,tNH3,ugN/L,North-Epi
250925003-002,TN,,25-Sep-25,00-Jan-00,5.7,,,,351.067,TN,ugN/L,North-Epi
250925003-002,TDP,,25-Sep-25,00-Jan-00,5.7,,,,37.273,TDP,ugP/L,North-Epi
250925003-002,TP,,25-Sep-25,00-Jan-00,5.7,,,,56.142,TP,ugP/L,North-Epi
250925003-002,Alk,,25-Sep-25,00-Jan-00,5.7,,,,63.300000,Alk,mg/L as CaCO3,North-Epi
250925003-002,pH_L,,25-Sep-25,00-Jan-00,5.7,,,,8.15,pH_L,,North-Epi
250925003-003,TP,,25-Sep-25,00-Jan-00,5.7,,,15,10.687,TP,ugP/L,North-Met
250925003-003,NOX,,25-Sep-25,00-Jan-00,5.7,,,15,11.063,NOX,ugN/L,North-Met
250925003-003,tNH3,,25-Sep-25,00-Jan-00,5.7,,,15,168.88,tNH3,ugN/L,North-Met
250925003-003,TN,,25-Sep-25,00-Jan-00,5.7,,,15,497.328,TN,ugN/L,North-Met
250925003-003,pH_L,,25-Sep-25,00-Jan-00,5.7,,,15,6.97,pH_L,,North-Met
250925003-003,Alk,,25-Sep-25,00-Jan-00,5.7,,,15,70.350000,Alk,mg/L as CaCO3,North-Met
250925003-003,TDP,,25-Sep-25,00-Jan-00,5.7,,,15,89.768,TDP,ugP/L,North-Met
250925003-004,NOX,,25-Sep-25,00-Jan-00,5.7,,,16,1.847,NOX,ugN/L,North-Hyp
250925003-004,TP,,25-Sep-25,00-Jan-00,5.7,,,16,13.588,TP,ugP/L,North-Hyp
250925003-004,tNH3,,25-Sep-25,00-Jan-00,5.7,,,16,281.943,tNH3,ugN/L,North-Hyp
250925003-004,pH_L,,25-Sep-25,00-Jan-00,5.7,,,16,7.13,pH_L,,North-Hyp
250925003-004,TN,,25-Sep-25,00-Jan-00,5.7,,,16,711.151,TN,ugN/L,North-Hyp
250925003-004,Alk,,25-Sep-25,00-Jan-00,5.7,,,16,73.350000,Alk,mg/L as CaCO3,North-Hyp
250925003-004,TDP,,25-Sep-25,00-Jan-00,5.7,,,16,9.969,TDP,ugP/L,North-Hyp
250925003-005,NOX,,25-Sep-25,00-Jan-00,5.7,,,18,0.296,NOX,ugN/L,North-Bot-A
250925003-005,TDP,,25-Sep-25,00-Jan-00,5.7,,,18,17.498,TDP,ugP/L,North-Bot-A
250925003-005,TP,,25-Sep-25,00-Jan-00,5.7,,,18,20.892,TP,ugP/L,North-Bot-A
250925003-005,pH_L,,25-Sep-25,00-Jan-00,5.7,,,18,7.69,pH_L,,North-Bot-A
250925003-005,tNH3,,25-Sep-25,00-Jan-00,5.7,,,18,755.029,tNH3,ugN/L,North-Bot-A
250925003-005,Alk,,25-Sep-25,00-Jan-00,5.7,,,18,94.500000,Alk,mg/L as CaCO3,North-Bot-A
250925003-005,TN,,25-Sep-25,00-Jan-00,5.7,,,18,946.969,TN,ugN/L,North-Bot-A
250925003-006,NOX,,25-Sep-25,00-Jan-00,5.7,,,18,-0.714,NOX,ugN/L,North-Bot-B
250925003-006,TDP,,25-Sep-25,00-Jan-00,5.7,,,18,16.648,TDP,ugP/L,North-Bot-B
250925003-006,TP,,25-Sep-25,00-Jan-00,5.7,,,18,17.728,TP,ugP/L,North-Bot-B
250925003-006,pH_L,,25-Sep-25,00-Jan-00,5.7,,,18,7.60,pH_L,,North-Bot-B
250925003-006,tNH3,,25-Sep-25,00-Jan-00,5.7,,,18,799.872,tNH3,ugN/L,North-Bot-B
250925003-006,Alk,,25-Sep-25,00-Jan-00,5.7,,,18,93.500000,Alk,mg/L as CaCO3,North-Bot-B
250925003-006,TN,,25-Sep-25,00-Jan-00,5.7,,,18,969.672,TN,ugN/L,North-Bot-B
251009003-001,NOX,,08-Oct-25,00-Jan-00,4.0,,,,-0.683,NOX,ugN/L,North Surface
251009003-001,tNH3,,08-Oct-25,00-Jan-00,4.0,,,,12.57,tNH3,ugN/L,North Surface
251009003-001,TN,,08-Oct-25,00-Jan-00,4.0,,,,360.021,TN,ugN/L,North Surface
251009003-001,TDP,,08-Oct-25,00-Jan-00,4.0,,,,55.364,TDP,ugP/L,North Surface
251009003-001,pH_L,,08-Oct-25,00-Jan-00,4.0,,,,7.63,pH_L,,North Surface
251009003-001,TP,,08-Oct-25,00-Jan-00,4.0,,,,71.126,TP,ugP/L,North Surface
251009003-001,Alk,,08-Oct-25,00-Jan-00,4.0,,,,74.350000,Alk,mg/L as CaCO3,North Surface
251009003-002,tNH3,,08-Oct-25,00-Jan-00,4.0,,,13.5,38.678,tNH3,ugN/L,North-Met
251009003-002,TN,,08-Oct-25,00-Jan-00,4.0,,,13.5,425.228,TN,ugN/L,North-Met
251009003-002,Alk,,08-Oct-25,00-Jan-00,4.0,,,13.5,68.350000,Alk,mg/L as CaCO3,North-Met
251009003-002,pH_L,,08-Oct-25,00-Jan-00,4.0,,,13.5,7.54,pH_L,,North-Met
251009003-002,TDP,,08-Oct-25,00-Jan-00,4.0,,,13.5,76.458,TDP,ugP/L,North-Met
251009003-002,NOX,,08-Oct-25,00-Jan-00,4.0,,,13.5,8.081,NOX,ugN/L,North-Met
251009003-002,TP,,08-Oct-25,00-Jan-00,4.0,,,13.5,88.969,TP,ugP/L,North-Met
251009003-003,TP,,08-Oct-25,00-Jan-00,4.0,,,15.5,102.681,TP,ugP/L,North Hypo
251009003-003,NOX,,08-Oct-25,00-Jan-00,4.0,,,15.5,13.812,NOX,ugN/L,North Hypo
251009003-003,TN,,08-Oct-25,00-Jan-00,4.0,,,15.5,495.042,TN,ugN/L,North Hypo
251009003-003,Alk,,08-Oct-25,00-Jan-00,4.0,,,15.5,68.350000,Alk,mg/L as CaCO3,North Hypo
251009003-003,pH_L,,08-Oct-25,00-Jan-00,4.0,,,15.5,7.36,pH_L,,North Hypo
251009003-003,TDP,,08-Oct-25,00-Jan-00,4.0,,,15.5,81.483,TDP,ugP/L,North Hypo
251009003-003,tNH3,,08-Oct-25,00-Jan-00,4.0,,,15.5,98.08,tNH3,ugN/L,North Hypo
251009003-004,tNH3,,08-Oct-25,00-Jan-00,4.0,,A,17,125.433,tNH3,ugN/L,North-Bot-A
251009003-004,TP,,08-Oct-25,00-Jan-00,4.0,,A,17,125.659,TP,ugP/L,North-Bot-A
251009003-004,NOX,,08-Oct-25,00-Jan-00,4.0,,A,17,17.05,NOX,ugN/L,North-Bot-A
251009003-004,pH_L,,08-Oct-25,00-Jan-00,4.0,,A,17,7.27,pH_L,,North-Bot-A
251009003-004,TN,,08-Oct-25,00-Jan-00,4.0,,A,17,722.344,TN,ugN/L,North-Bot-A
251009003-004,Alk,,08-Oct-25,00-Jan-00,4.0,,A,17,74.350000,Alk,mg/L as CaCO3,North-Bot-A
251009003-004,TDP,,08-Oct-25,00-Jan-00,4.0,,A,17,76.715,TDP,ugP/L,North-Bot-A
251009003-005,TP,,08-Oct-25,00-Jan-00,4.0,,B,17,105.935,TP,ugP/L,North-Bot-B
251009003-005,NOX,,08-Oct-25,00-Jan-00,4.0,,B,17,11.226,NOX,ugN/L,North-Bot-B
251009003-005,tNH3,,08-Oct-25,00-Jan-00,4.0,,B,17,143.503,tNH3,ugN/L,North-Bot-B
251009003-005,TN,,08-Oct-25,00-Jan-00,4.0,,B,17,511.881,TN,ugN/L,North-Bot-B
251009003-005,pH_L,,08-Oct-25,00-Jan-00,4.0,,B,17,7.42,pH_L,,North-Bot-B
251009003-005,Alk,,08-Oct-25,00-Jan-00,4.0,,B,17,70.350000,Alk,mg/L as CaCO3,North-Bot-B
251009003-005,TDP,,08-Oct-25,00-Jan-00,4.0,,B,17,87.644,TDP,ugP/L,North-Bot-B
251009003-006,TDP,,08-Oct-25,00-Jan-00,4.0,,,,-0.054,TDP,ugP/L,Field Blank
